id,selection,dateAdded,quiz_id,question_id,user_id
693,tvdpw,7/5/2022,2,61,17
694,btxlt,1/26/2023,23,93,18
695,hpjqr,9/4/2022,7,203,2
696,ebhbb,8/15/2022,12,56,15
697,lnsuc,3/30/2023,22,255,8
698,gjjuz,8/24/2022,30,39,14
699,onlkh,11/19/2022,9,124,5
700,bywvl,8/22/2022,1,158,12
701,evmdz,6/29/2022,26,148,4
702,jcfph,2/9/2023,22,115,16
703,uslus,2/14/2023,25,241,18
704,gzsbw,1/23/2023,1,154,4
705,hgvva,5/4/2022,20,94,17
706,gbjcw,3/24/2023,10,79,3
707,emdlz,1/24/2023,14,204,7
708,qskwc,11/13/2022,28,281,11
709,vxume,1/5/2023,18,290,11
710,jtnrn,1/8/2023,16,146,7
711,ckrae,2/22/2023,24,294,9
712,deeyc,5/23/2022,21,101,6
713,kxxnb,7/3/2022,29,293,8
714,qhugr,11/7/2022,23,142,8
715,edayi,1/23/2023,6,184,14
716,nqjtn,3/3/2023,9,113,18
717,okrkg,5/7/2022,5,54,5
718,bbgve,4/7/2023,7,199,12
719,pniin,4/28/2022,2,235,6
720,gqcwy,5/22/2022,27,156,19
721,gzxlc,5/10/2022,3,116,17
722,teymc,12/3/2022,17,55,10
723,uflvg,11/22/2022,12,197,5
724,sjajn,8/28/2022,4,65,7
725,urqmm,2/7/2023,13,140,1
726,lurxh,7/16/2022,8,138,5
727,xxght,6/11/2022,15,178,5
728,dtfnf,2/3/2023,11,254,2
729,qxpba,5/13/2022,19,233,13
730,fiexo,2/26/2023,30,170,17
731,ghboh,8/15/2022,1,283,5
732,xmoch,6/3/2022,3,219,17
733,cwneh,6/29/2022,30,270,4
734,vwagh,4/14/2023,14,71,20
735,mubrh,8/19/2022,23,143,4
736,nomup,6/22/2022,4,210,8
737,zzcok,2/23/2023,21,15,9
738,sdafl,2/26/2023,8,282,18
739,axace,12/10/2022,26,214,4
740,olwlp,2/17/2023,28,216,2
741,ffqrh,12/10/2022,25,152,2
742,fmrax,6/10/2022,7,4,5
743,meuex,6/11/2022,29,105,13
744,jadyt,12/18/2022,9,230,7
745,umyrt,5/3/2022,22,144,14
746,zigje,5/14/2022,10,236,15
747,trjgd,6/24/2022,11,50,14
748,hkeuu,5/26/2022,5,205,2
749,xmbky,8/19/2022,20,89,15
750,tiugl,1/28/2023,12,247,19
751,cxykc,8/31/2022,23,245,10
752,qzfix,7/20/2022,17,19,1
753,qzaoa,1/15/2023,21,79,10
754,dmdnv,8/16/2022,5,247,20
755,qmney,11/14/2022,4,130,10
756,zsane,8/21/2022,20,46,14
757,klloj,2/7/2023,25,229,2
758,lbnft,9/19/2022,18,37,17
759,seebv,5/6/2022,2,26,11
760,toujn,1/24/2023,9,146,5
761,qhupf,8/28/2022,10,140,1
762,ssqsf,9/6/2022,30,167,10
763,rfvrj,6/18/2022,6,23,8
764,libvb,9/7/2022,26,139,5
765,fxzoz,5/25/2022,27,237,4
766,ytujz,3/25/2023,14,209,16
767,eqyva,6/16/2022,3,121,1
768,niymk,5/12/2022,19,111,6
769,iwslu,1/13/2023,8,28,5
770,okfgx,3/14/2023,29,124,15
771,edmje,2/16/2023,22,7,14
772,xyfmz,10/28/2022,15,241,14
773,sjqki,1/20/2023,7,224,16
774,dqgkt,2/14/2023,12,268,1
775,ttfxn,10/14/2022,11,141,11
776,swnxj,4/17/2022,28,264,3
777,jlazc,4/20/2022,1,57,7
778,iosgy,9/18/2022,16,143,7
779,nyjcl,9/12/2022,24,211,6
780,wzjyr,9/9/2022,13,25,3
781,qbdeb,9/3/2022,30,14,15
782,dnijc,11/13/2022,25,272,10
783,ovdyk,1/16/2023,15,220,16
784,jogfs,8/27/2022,13,1,6
785,cvzmz,11/15/2022,23,47,13
786,twgxy,12/28/2022,6,298,18
787,ewvdt,4/3/2023,28,218,11
788,rhsdl,11/28/2022,22,38,11
789,hifni,6/6/2022,5,221,8
790,mxqbu,4/14/2023,14,70,12
791,jtcbt,10/24/2022,9,192,20
792,nvrdw,9/11/2022,18,89,15
793,jggwl,9/17/2022,29,296,12
794,iypnx,9/13/2022,8,169,1
795,bvbfi,11/14/2022,3,299,9
796,serks,1/18/2023,27,281,3
797,iqqqm,1/27/2023,16,190,14
798,wlnmi,2/21/2023,20,128,20
799,qhvja,5/6/2022,4,157,5
800,usbxp,10/7/2022,17,44,18
801,pijjd,3/26/2023,18,48,20
802,wtgte,6/6/2022,17,265,8
803,rzsml,2/18/2023,15,203,12
804,ybtxh,10/3/2022,7,158,14
805,soiod,3/9/2023,20,160,1
806,tjszu,3/29/2023,26,235,13
807,ssdfp,11/24/2022,21,204,16
808,msoeg,8/20/2022,9,238,16
809,xknag,8/31/2022,19,201,13
810,lzndv,2/5/2023,29,191,11
811,xjodu,12/22/2022,10,112,20
812,jdyob,7/7/2022,27,8,4
813,odrob,2/8/2023,14,166,18
814,zbxzp,4/5/2023,24,93,13
815,sldhq,1/9/2023,8,253,10
816,bdonx,4/29/2022,11,96,15
817,emhft,9/3/2022,5,207,2
818,yoorq,7/11/2022,1,299,4
819,bmjxd,1/4/2023,25,45,9
820,qfnqs,6/3/2022,13,149,17
821,utbzb,11/5/2022,28,167,11
822,eylwl,8/22/2022,2,195,7
823,wmotp,1/29/2023,16,273,15
824,dyebu,11/9/2022,22,25,1
825,mowsq,12/21/2022,30,34,1
826,msqmo,11/3/2022,3,42,17
827,uryzb,3/19/2023,4,16,3
828,frmkb,1/3/2023,23,156,16
829,wzxbi,3/5/2023,6,78,17
830,paojk,2/22/2023,12,73,8
831,exqvw,2/18/2023,5,83,19
832,chmkj,12/7/2022,18,240,10
833,cywvu,11/10/2022,6,131,20
834,cykfx,12/18/2022,29,221,16
835,wmlsk,1/9/2023,3,108,2
836,aeuhv,9/18/2022,9,277,10
837,fscun,5/26/2022,19,154,1
838,pqpna,2/5/2023,2,87,8
839,fiwhf,1/4/2023,10,294,16
840,aqpay,10/9/2022,14,249,15
841,kjjwd,4/16/2023,17,261,16
842,ymzfq,6/21/2022,24,271,15
843,qiduu,5/16/2022,21,213,16
844,emdvl,7/22/2022,4,208,15
845,xvvlr,7/24/2022,22,230,4
846,cvuho,7/15/2022,28,246,15
847,bxmgc,8/18/2022,7,50,3
848,vnfcs,10/18/2022,25,74,18
849,suaio,3/10/2023,1,197,14
850,iwiqp,10/23/2022,30,170,10
851,hycho,11/4/2022,24,196,17
852,ghbha,9/5/2022,21,236,5
853,jgjye,3/9/2023,9,131,3
854,xczgm,3/14/2023,13,74,10
855,ffylx,10/18/2022,16,37,12
856,bxwto,7/21/2022,25,143,18
857,wrhkz,12/25/2022,7,82,13
858,zcrzu,10/22/2022,14,145,18
859,jersx,4/23/2022,19,164,15
860,chtta,7/8/2022,29,148,14
861,utazf,11/22/2022,20,229,2
862,hcpvo,6/19/2022,30,269,2
863,zrtqb,2/9/2023,1,228,15
864,khxfk,1/17/2023,8,268,8
865,hxgfg,5/30/2022,22,141,15
866,selsl,11/28/2022,10,277,9
867,fkfec,11/29/2022,28,195,4
868,koytq,12/24/2022,5,139,12
869,ywhip,9/27/2022,26,203,6
870,ukrbq,8/2/2022,12,124,3
871,kdfkh,5/12/2022,2,1,19
872,ttegv,5/12/2022,4,165,3
873,ahbfv,11/16/2022,6,273,20
874,przxm,1/18/2023,27,163,13
875,rekit,2/5/2023,11,235,19
876,mirxg,5/26/2022,18,191,3
877,eprjx,9/23/2022,23,137,14
878,qgqzg,7/13/2022,15,132,20
879,wsjuz,4/20/2022,3,50,3
880,vuapz,4/13/2023,17,276,7
881,akidz,9/12/2022,2,284,4
882,tpjja,2/10/2023,29,161,8
883,dkecw,6/12/2022,25,71,19
884,juvyw,11/24/2022,10,55,9
885,cduwa,2/25/2023,16,43,17
886,dofeh,6/24/2022,19,297,18
887,wycrp,11/13/2022,24,89,9
888,hgnoo,11/12/2022,28,133,19
889,ltixw,5/13/2022,21,62,10
890,ltera,1/12/2023,4,78,15
891,pxkqg,3/15/2023,20,249,14
892,rxqgf,6/12/2022,23,218,14
893,sgquy,11/15/2022,5,118,10
894,ooyjw,12/8/2022,14,65,19
895,rnwiw,12/3/2022,6,97,8
896,ygmny,5/14/2022,12,192,11
897,tgpci,2/9/2023,26,25,8
898,wytgj,2/25/2023,3,222,16
899,wdunk,2/23/2023,22,232,13
900,xkjlj,11/12/2022,15,172,14
901,oxgwx,12/28/2022,10,63,13
902,kvyys,10/29/2022,2,99,8
903,upcpm,5/13/2022,21,263,3
904,xvcfl,1/26/2023,8,221,19
905,mrqmu,3/6/2023,1,146,4
906,ftlgz,6/24/2022,5,124,15
907,uzceb,12/20/2022,3,65,8
908,dnpsn,5/29/2022,26,220,14
909,nqeon,7/23/2022,29,223,9
910,pzgvb,6/28/2022,17,17,18
911,sjied,7/18/2022,13,292,12
912,hnfxs,10/19/2022,30,289,20
913,aibhu,8/31/2022,7,82,12
914,txsft,1/9/2023,12,186,6
915,fjpzj,2/4/2023,19,172,18
916,lcnjj,8/21/2022,9,56,3
917,ihjlx,8/17/2022,20,54,1
918,oacdr,9/9/2022,22,108,13
919,dlpks,2/15/2023,4,203,16
920,bnsur,11/8/2022,24,39,17
921,igsir,10/22/2022,23,125,7
922,ujdga,8/13/2022,28,247,7
923,ihmyd,4/3/2023,14,109,14
924,zxsnq,10/19/2022,15,110,9
925,zebqo,2/7/2023,25,242,5
926,goqdm,11/20/2022,18,150,8
927,nddvu,6/12/2022,11,91,16
928,rwzmt,10/17/2022,6,207,15
929,tpbex,7/30/2022,16,118,12
930,bhqah,7/10/2022,27,255,20
931,wkquw,7/5/2022,6,293,4
932,lcxpj,8/6/2022,18,230,14
933,wkidj,10/18/2022,2,163,9
934,zmogv,5/8/2022,27,275,16
935,oosbw,1/15/2023,26,147,20
936,jjxjr,2/23/2023,29,258,10
937,osvog,7/7/2022,16,128,14
938,wphsj,9/15/2022,23,214,19
939,snwdk,1/16/2023,14,181,12
940,kghsj,10/29/2022,25,156,20
941,pbozq,3/1/2023,3,298,1
942,ldmea,11/19/2022,17,288,8
943,tldrn,5/17/2022,1,210,15
944,qjojv,4/3/2023,4,130,4
945,sayjt,9/8/2022,15,233,6
946,jlnft,8/21/2022,20,97,10
947,ujgmg,3/27/2023,22,155,11
948,hywsl,4/25/2022,13,62,17
949,evueb,7/8/2022,7,84,8
950,qksjg,9/13/2022,24,225,6
951,mnqpt,12/21/2022,27,127,5
952,mspeg,10/12/2022,29,162,16
953,nsuxz,9/15/2022,15,274,17
954,dianw,2/10/2023,7,235,11
955,lwjua,2/8/2023,2,75,10
956,yguwm,4/13/2023,8,22,9
957,aiqkn,12/16/2022,17,188,11
958,kclgv,4/10/2023,25,271,11
959,cicfr,12/1/2022,16,30,11
960,eyllf,1/23/2023,18,78,17
961,smzbx,4/4/2023,23,48,1
962,thnsr,3/31/2023,28,263,3
963,vlrgf,11/5/2022,30,202,7
964,uxeww,1/3/2023,20,164,4
965,gzqkd,11/30/2022,12,249,3
966,lheww,6/4/2022,19,51,13
967,acvqr,12/30/2022,5,16,16
968,nbbic,4/15/2023,24,228,14
969,xwvmd,4/1/2023,1,32,11
970,zgjpm,8/11/2022,13,251,13
971,ebnws,5/4/2022,6,262,2
972,vwiwk,6/16/2022,26,296,6
973,mwnmb,10/28/2022,22,160,11
974,dhfkw,5/19/2022,11,173,19
975,teitx,3/28/2023,14,130,19
976,yjwgt,3/23/2023,9,132,2
977,vcdii,1/29/2023,10,14,6
978,ilftt,12/11/2022,21,10,5
979,lpsvw,6/10/2022,3,256,20
980,rekiy,10/18/2022,4,183,3
981,hnjhz,4/13/2023,3,3,7
982,befhc,6/9/2022,28,87,13
983,eutvx,4/10/2023,22,247,7
984,lyrrf,2/9/2023,15,248,2
985,ykmnn,10/27/2022,16,246,1
986,uiisw,9/25/2022,6,105,17
987,sqizx,7/6/2022,20,203,2
988,nbkeo,4/21/2022,13,12,1
989,lyzmi,9/4/2022,17,236,14
990,lwpcv,12/2/2022,9,44,7
991,lgsln,12/26/2022,7,63,7
992,msymz,7/17/2022,19,208,20
993,qydjw,7/12/2022,21,8,14
994,rjtzc,6/21/2022,12,49,16
995,oydlp,8/25/2022,25,79,18
996,yjfnb,1/24/2023,24,141,3
997,ixetf,10/17/2022,26,47,5
998,ncgia,9/20/2022,11,288,1
999,croyu,2/9/2023,18,73,9
1000,tsnjv,7/2/2022,23,168,2
